"CDSID","ortholog","AssociatedFunction"
"LBRM2904_03.0900 (old tag= LbrM.03.0820)","LmjF.03.0910","inorganic pyrophosphatase, putative"
"LBRM2904_03.0910 (old tag= LbrM.03.0830)","LmjF.03.0920","Got1/Sft2-like family, putative"
"LBRM2904_03.0920 (old tag= LbrM.03.0840)","LmjF.03.0930","Amidohydrolase/Amidohydrolase family, putative"
"LBRM2904_03.0930 (old tag= LbrM.03.0850)","LmjF.03.0940","hypothetical protein, conserved"
"LBRM2904_03.0940 (old tag= LbrM.03.0860)","LmjF.03.0950","Multicopper oxidase, putative"
"LBRM2904_03.0950 (old tag= LbrM.03.0870)","LmjF.03.0960","hypothetical protein, conserved"
"LBRM2904_03.0960 (old tag= LbrM.03.0880)","LmjF.03.0970","MORN repeat, putative"
"LBRM2904_03.0970 (old tag= LbrM.03.0890)","LmjF.03.0980","eukaryotic initiation factor 2a, putative"
"LBRM2904_04.0010 (old tag= LbrM.04.0030)","LmjF.04.0010","calcium-translocating P-type ATPase"
"LBRM2904_04.0020 (old tag= LbrM.04.0060)","LmjF.04.0020","pteridine transporter (truncated), putative"
"LBRM2904_04.0030 (old tag= LbrM.04.0070)","LmjF.04.0030","cAMP-specific phosphodiesterase, putative"
"LBRM2904_04.0040 (old tag= LbrM.04.0071)","LmjF.04.0035","hypothetical protein, conserved"
"LBRM2904_04.0050 (old tag= LbrM.04.0080)","LmjF.04.0040","hypothetical protein, conserved"
"LBRM2904_04.0060 (old tag= LbrM.04.0090)","LmjF.04.0045","hypothetical protein, conserved"
"LBRM2904_04.0070 (old tag= LbrM.04.0100)","LmjF.04.0050","hypothetical protein, conserved"
"LBRM2904_04.0080 (old tag= LbrM.04.0110)","LmjF.04.0060","DNA topoisomerase type IB small subunit, putative"
"LBRM2904_04.0090 (old tag= LbrM.04.0120)","LmjF.04.0070","hypothetical protein, conserved"
"LBRM2904_04.0100 (old tag= LbrM.04.0130)","LmjF.04.0080","hypothetical protein, conserved"
"LBRM2904_04.0110 (old tag= LbrM.04.0140)","LmjF.04.0090","hypothetical protein, conserved"
"LBRM2904_04.0120 (old tag= LbrM.04.0150)","LmjF.04.0100","hypothetical protein, conserved"
"LBRM2904_04.0130 (old tag= LbrM.04.0160)","LmjF.04.0110","hypothetical protein, conserved"
"LBRM2904_04.0140 (old tag= LbrM.04.0170)","LmjF.04.0120","exosome complex exonuclease RRP40, putative"
"LBRM2904_04.0150 (old tag= LbrM.04.0180)","LmjF.04.0123","hypothetical protein, conserved"
"LBRM2904_04.0160 (old tag= LbrM.04.0250)","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","hypothetical protein, conserved"
"LBRM2904_04.0170 (old tag= LbrM.04.0240)","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","hypothetical protein, conserved"
"LBRM2904_04.0180 (old tag= LbrM.04.0240)","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","hypothetical protein, conserved"
"LBRM2904_04.0190 (old tag= LbrM.04.0240)","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","hypothetical protein, conserved"
"LBRM2904_04.0200 (old tag= LbrM.04.0240)","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","hypothetical protein, conserved"
"LBRM2904_04.0210 (old tag= LbrM.04.0240)","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","hypothetical protein, conserved"
"LBRM2904_04.0220 (old tag= -)","-","hypothetical protein"
"LBRM2904_04.0230 (old tag= LbrM.04.0240)","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","hypothetical protein, conserved"
"LBRM2904_04.0240 (old tag= LbrM.04.0240)","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","hypothetical protein, conserved"
"LBRM2904_04.0250 (old tag= LbrM.04.0230)","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","hypothetical protein, conserved"
"LBRM2904_04.0260 (old tag= LbrM.04.0230)","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","hypothetical protein, conserved"
"LBRM2904_04.0270 (old tag= LbrM.04.0230)","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","hypothetical protein, conserved"
"LBRM2904_04.0280 (old tag= LbrM.04.0230)","LmjF.04.0130,LmjF.04.0140,LmjF.04.0150,LmjF.04.0160,LmjF.04.0170","hypothetical protein, conserved"
"LBRM2904_04.0290 (old tag= LbrM.04.0260)","LmjF.04.0180","surface antigen-like protein"
"LBRM2904_04.0300 (old tag= -)","LmjF.04.0190","surface antigen-like protein"
"LBRM2904_04.0310 (old tag= -)","LmjF.04.0210","surface antigen-like protein"
"LBRM2904_04.0320 (old tag= LbrM.04.0270)","LmjF.04.0220","hypothetical protein, conserved"
"LBRM2904_04.0330 (old tag= LbrM.04.1320)","LmjF.04.0230","hypothetical protein, conserved"
"LBRM2904_04.0340 (old tag= LbrM.04.0280)","LmjF.04.0240","hypothetical protein, conserved"
"LBRM2904_04.0350 (old tag= LbrM.04.0290)","LmjF.04.0250","RNA pseudouridylate synthase-like protein"
"LBRM2904_04.0360 (old tag= LbrM.04.0300)","LmjF.04.0260","hypothetical protein, conserved"
"LBRM2904_04.0370 (old tag= LbrM.04.0310)","LmjF.04.0270","Mitochondrial 39-S ribosomal protein L47 (MRP-L47), putative"
"LBRM2904_04.0380 (old tag= -)","-","hypothetical protein"
"LBRM2904_04.0390 (old tag= LbrM.04.0320)","LmjF.04.0280","adenosine monophosphate deaminase, putative"
"LBRM2904_04.0400 (old tag= LbrM.04.0330)","LmjF.04.0290","Alcohol dehydrogenase GroES-like domain containing protein, putative"
"LBRM2904_04.0410 (old tag= LbrM.04.0340)","LmjF.04.0300","hypothetical protein, conserved"
"LBRM2904_04.0420 (old tag= LbrM.04.0350)","LmjF.04.0310,LmjF.04.0320","beta-fructofuranosidase, putative"
"LBRM2904_04.0430 (old tag= LbrM.04.0350)","LmjF.04.0310,LmjF.04.0320","beta-fructofuranosidase, putative"
"LBRM2904_04.0440 (old tag= LbrM.04.0350)","LmjF.04.0310,LmjF.04.0320","beta-fructofuranosidase, putative"
"LBRM2904_04.0450 (old tag= LbrM.04.0360)","LmjF.04.0330","mitochondrial exoribonuclease DSS-1, putative"
"LBRM2904_04.0460 (old tag= LbrM.04.0370)","LmjF.04.0340","ADP-ribosylation factor, putative"
"LBRM2904_04.0470 (old tag= LbrM.04.0380)","LmjF.04.0350","hypothetical protein, conserved"
"LBRM2904_04.0480 (old tag= LbrM.04.0380)","LmjF.04.0350","hypothetical protein, conserved"
"LBRM2904_04.0490 (old tag= LbrM.04.0390)","LmjF.04.0370","hypothetical protein, conserved"
"LBRM2904_04.0500 (old tag= LbrM.04.0400)","LmjF.04.0380","Phytanoyl-CoA dioxygenase (PhyH), putative"
"LBRM2904_04.0510 (old tag= LbrM.04.0440)","LmjF.04.0400","anaphase promoting complex, subunit 10-like protein"
"LBRM2904_04.0520 (old tag= LbrM.04.0450)","LmjF.04.0410","hypothetical protein, conserved"
"LBRM2904_04.0530 (old tag= LbrM.04.0460)","LmjF.04.0420","Tetratricopeptide repeat, putative"
"LBRM2904_04.0540 (old tag= -)","-","hypothetical protein"
"LBRM2904_04.0550 (old tag= -)","-","hypothetical protein"
"LBRM2904_04.0560 (old tag= -)","-","hypothetical protein"
"LBRM2904_04.0570 (old tag= LbrM.04.0470)","LmjF.04.0430","hypothetical protein, conserved"
"LBRM2904_04.0580 (old tag= LbrM.04.0480)","LmjF.04.0440","serine/threonine protein kinase-like protein"
"LBRM2904_04.0590 (old tag= LbrM.04.0490)","LmjF.04.0450","cysteine peptidase, Clan CA, family C2, putative"
"LBRM2904_04.0600 (old tag= LbrM.04.0500)","LmjF.04.0460","adenylosuccinate lyase, putative"
"LBRM2904_04.0610 (old tag= LbrM.04.0510)","-","hypothetical protein"
"LBRM2904_04.0620 (old tag= LbrM.04.0520)","LmjF.04.0470","60S ribosomal protein L11 (L5, L16)"
"LBRM2904_04.0630 (old tag= LbrM.04.0530)","LmjF.04.0480","ADP-ribosylation factor, putative"
"LBRM2904_04.0640 (old tag= LbrM.04.0540)","LmjF.04.0490","hypothetical protein, conserved"
"LBRM2904_04.0650 (old tag= LbrM.04.0550)","LmjF.04.0500","Nucleotidyltransferase domain/Cid1 family poly A polymerase, putative"
"LBRM2904_04.0660 (old tag= LbrM.04.0560)","LmjF.04.0510","hypothetical protein, conserved"
"LBRM2904_04.0670 (old tag= LbrM.04.0570)","LmjF.04.0520","palmitoyl acyltransferase 1, putative"
"LBRM2904_04.0680 (old tag= LbrM.04.0580)","LmjF.04.0530","hypothetical protein, conserved"
"LBRM2904_04.0690 (old tag= LbrM.04.0590)","LmjF.04.0540","hypothetical protein"
"LBRM2904_04.0700 (old tag= LbrM.04.0600)","LmjF.04.0550","Tetratricopeptide repeat/TPR repeat, putative"
"LBRM2904_04.0710 (old tag= LbrM.04.0610)","LmjF.04.0560","tyrosine phosphatase, putative"
"LBRM2904_04.0720 (old tag= LbrM.04.0620)","LmjF.04.0570","DENN (AEX-3) domain containing protein, putative"
"LBRM2904_04.0730 (old tag= -)","-","hypothetical protein, conserved"
"LBRM2904_04.0740 (old tag= LbrM.04.0640)","LmjF.04.0590","hypothetical protein, conserved"
"LBRM2904_04.0750 (old tag= -)","-","hypothetical protein"
"LBRM2904_04.0760 (old tag= LbrM.04.1310)","LmjF.04.0600","hypothetical protein, conserved"
"LBRM2904_04.0770 (old tag= LbrM.04.1300)","LmjF.04.0610","hypothetical protein, conserved"
"LBRM2904_04.0780 (old tag= LbrM.04.1290)","LmjF.04.0620","hypothetical protein, conserved"
"LBRM2904_04.0790 (old tag= LbrM.04.0660)","LmjF.04.0640","Zinc finger, C3HC4 type (RING finger) containing protein, putative"
"LBRM2904_04.0800 (old tag= LbrM.04.0860)","LmjF.04.0650","serine-threonine protein kinase-like protein"
"LBRM2904_04.0810 (old tag= LbrM.04.0870)","LmjF.04.0660,LmjF.04.0670","hypothetical protein, conserved"
"LBRM2904_04.0820 (old tag= LbrM.04.0880)","LmjF.04.0680","ubiquitin-conjugating enzyme E2, putative"
"LBRM2904_04.0830 (old tag= LbrM.04.0890)","LmjF.04.0690","Axonemal dynein light chain, putative"
"LBRM2904_04.0840 (old tag= LbrM.04.0900)","LmjF.04.0700","hypothetical protein, conserved"
"LBRM2904_04.0850 (old tag= LbrM.04.0910)","LmjF.04.0710","Tir chaperone protein (CesT) family, putative"
"LBRM2904_04.0860 (old tag= LbrM.04.0930)","LmjF.04.0730","Protein of unknown function (DUF974), putative"
"LBRM2904_04.0870 (old tag= LbrM.04.0940)","LmjF.04.0740","hypothetical protein, conserved"
"LBRM2904_04.0880 (old tag= LbrM.04.0950)","LmjF.04.0750","60S ribosomal protein L10, putative"
"LBRM2904_04.0890 (old tag= LbrM.04.0750)","LmjF.04.0760,LmjF.04.0770","nascent polypeptide associated complex subunit- like protein, copy 2"
"LBRM2904_04.0900 (old tag= LbrM.04.0760)","LmjF.04.0780","heat shock protein, putative"
"LBRM2904_04.0910 (old tag= LbrM.04.0770)","LmjF.04.0790","hypothetical protein, conserved"
"LBRM2904_04.0920 (old tag= -)","LmjF.04.0800","hypothetical protein, conserved"
"LBRM2904_04.0930 (old tag= LbrM.04.0780)","LmjF.04.0810","Pescadillo N-terminus/BRCA1 C Terminus (BRCT) domain containing protein, putative"
"LBRM2904_04.0940 (old tag= -)","LmjF.04.0820","Peptide deformylase 2, putative "
"LBRM2904_04.0950 (old tag= LbrM.04.0790)","LmjF.04.0830","hypothetical protein, conserved"
"LBRM2904_04.0960 (old tag= LbrM.04.0800)","LmjF.04.0840","tyrosine phospatase-like protein"
"LBRM2904_04.0970 (old tag= LbrM.04.0810)","LmjF.04.0850","serine peptidase, Clan S-, family S54, putative"
"LBRM2904_04.0980 (old tag= LbrM.04.0820)","LmjF.04.0860","hypothetical protein, conserved"
"LBRM2904_04.0990 (old tag= LbrM.04.0850)","LmjF.04.0870","hypothetical protein, conserved"
"LBRM2904_04.1000 (old tag= LbrM.04.0680)","LmjF.04.0890","hypothetical protein, conserved"
"LBRM2904_04.1010 (old tag= -)","-","hypothetical protein"
"LBRM2904_04.1020 (old tag= LbrM.04.0690)","LmjF.04.0900","hypothetical protein, conserved"
"LBRM2904_04.1030 (old tag= LbrM.04.0700)","LmjF.04.0910","hypothetical protein, conserved"
"LBRM2904_04.1040 (old tag= LbrM.04.0710)","LmjF.04.0920","hypothetical protein, conserved"
"LBRM2904_04.1050 (old tag= LbrM.04.0720)","LmjF.04.0930","Cytochrome c oxidase biogenesis protein Cmc1 like, putative"
"LBRM2904_04.1060 (old tag= LbrM.04.0730)","LmjF.04.0940","chaperone protein DNAj, putative"
"LBRM2904_04.1070 (old tag= LbrM.04.0950)","LmjF.04.0950","60S ribosomal protein L10, putative"
"LBRM2904_04.1080 (old tag= LbrM.04.0960)","LmjF.04.0960","adenylate kinase, putative"
"LBRM2904_04.1090 (old tag= LbrM.04.0970)","LmjF.04.0970","hypothetical protein, conserved"
"LBRM2904_04.1100 (old tag= LbrM.04.0980)","LmjF.04.0975","hypothetical protein, conserved"
"LBRM2904_04.1110 (old tag= LbrM.04.0990)","LmjF.04.0980","hypothetical protein, conserved"
"LBRM2904_04.1120 (old tag= LbrM.04.1000)","LmjF.04.0990","hypothetical protein, conserved"
"LBRM2904_04.1130 (old tag= LbrM.04.1010)","LmjF.04.1000","chloride channel protein, putative"
"LBRM2904_04.1140 (old tag= LbrM.04.1020)","LmjF.04.1010","Domain of unknown function (DUF947), putative"
"LBRM2904_04.1150 (old tag= LbrM.04.1030)","LmjF.04.1030","COPI associated protein, putative"
"LBRM2904_04.1160 (old tag= LbrM.04.1060)","LmjF.04.1050","acyltransferase-like protein, copy 2"
"LBRM2904_04.1170 (old tag= LbrM.04.1070)","LmjF.04.1060","hypothetical protein, conserved"
"LBRM2904_04.1180 (old tag= LbrM.04.1080)","LmjF.04.1070","hypothetical protein, conserved"
"LBRM2904_04.1190 (old tag= LbrM.04.1090)","LmjF.04.1080","Transcriptional repressor TCF25, putative"
"LBRM2904_04.1200 (old tag= LbrM.04.1100)","LmjF.04.1090","hypothetical protein, conserved"
"LBRM2904_04.1210 (old tag= LbrM.04.1110)","LmjF.04.1100","hypothetical protein, conserved"
"LBRM2904_04.1220 (old tag= LbrM.04.1120)","LmjF.04.1110","hypothetical protein"
"LBRM2904_04.1230 (old tag= LbrM.04.1120)","LmjF.04.1110","proton motive ATPase, putative"
"LBRM2904_04.1240 (old tag= LbrM.04.1130)","LmjF.04.1120","hypothetical protein, conserved"
"LBRM2904_04.1250 (old tag= LbrM.04.1140)","LmjF.04.1130","cytochrome c oxidase assembly factor, putative"
"LBRM2904_04.1260 (old tag= LbrM.04.1150)","LmjF.04.1140","hypothetical protein, conserved"
"LBRM2904_04.1270 (old tag= LbrM.04.1160)","LmjF.04.1150","hypothetical protein, conserved"
"LBRM2904_04.1280 (old tag= LbrM.04.1170)","LmjF.04.1160","fructose-1 -6-bisphosphatase"
"LBRM2904_04.1290 (old tag= LbrM.04.1180)","-","Methyltransferase FkbM domain containing protein, putative"
"LBRM2904_04.1300 (old tag= LbrM.04.1190)","LmjF.04.1170","RNA-binding protein, putative"
"LBRM2904_04.1310 (old tag= LbrM.04.1200)","LmjF.04.1180","hypothetical protein, conserved"
"LBRM2904_04.1320 (old tag= LbrM.04.1210)","LmjF.04.1190","tRNA nucleotidyltransferase, putative"
"LBRM2904_04.1330 (old tag= LbrM.04.1220)","LmjF.04.1200","Leucine Rich repeat, putative"
"LBRM2904_04.1340 (old tag= -)","-","hypothetical protein"
"LBRM2904_04.1350 (old tag= LbrM.04.1230)","LmjF.04.1210","casein kinase I, putative"
"LBRM2904_04.1360 (old tag= LbrM.04.1240)","LmjF.04.1220","hypothetical protein, conserved"
"LBRM2904_04.1370 (old tag= LbrM.04.1250)","LmjF.04.1230","actin"
"LBRM2904_05.0010 (old tag= -)","-","hypothetical protein"
"LBRM2904_05.0020 (old tag= LbrM.05.0010)","LmjF.05.0010","hypothetical protein, conserved"
"LBRM2904_05.0030 (old tag= LbrM.05.0020)","LmjF.05.0020","hypothetical protein, conserved"
"LBRM2904_05.0040 (old tag= LbrM.05.0030)","LmjF.05.0030","ras-like small GTPases, putative"
"LBRM2904_05.0050 (old tag= LbrM.05.0040)","LmjF.05.0040","paraflagellar rod component par4, putative"
"LBRM2904_05.0060 (old tag= LbrM.05.0050)","LmjF.05.0050","hypothetical protein, conserved"
"LBRM2904_05.0070 (old tag= LbrM.05.0060)","LmjF.05.0060","major vault protein, putative"
"LBRM2904_05.0080 (old tag= LbrM.05.0070)","LmjF.05.0070","dynein light chain, putative"
"LBRM2904_05.0090 (old tag= LbrM.05.0080)","LmjF.05.0080","Rrp15p, putative"
"LBRM2904_05.0100 (old tag= LbrM.05.0090)","LmjF.05.0090","Nudix hydrolase 2, putative"
"LBRM2904_05.0110 (old tag= LbrM.05.0100)","LmjF.05.0100","phosphoprotein phosphatase, putative"
"LBRM2904_05.0120 (old tag= LbrM.05.0110)","LmjF.05.0110","hypothetical protein, conserved"
"LBRM2904_05.0130 (old tag= LbrM.05.0120)","LmjF.05.0120","hypothetical protein, conserved"
"LBRM2904_05.0140 (old tag= LbrM.05.0130)","LmjF.05.0130","protein kinase, putative"
"LBRM2904_05.0150 (old tag= LbrM.05.0140)","LmjF.05.0140","nucleolar RNA helicase II, putative"
"LBRM2904_05.0160 (old tag= LbrM.05.0150)","LmjF.05.0150","Leucine rich repeat/Leucine Rich repeat/Leucine Rich Repeat, putative"
"LBRM2904_05.0170 (old tag= LbrM.05.0160)","LmjF.05.0160","hypothetical protein, conserved"
"LBRM2904_05.0180 (old tag= LbrM.05.0170)","LmjF.05.0170","hypothetical protein, conserved"
"LBRM2904_05.0190 (old tag= LbrM.05.0180)","LmjF.05.0180","dihydrolipoamide branched chain transacylase, putative"
"LBRM2904_05.0200 (old tag= LbrM.05.0190)","LmjF.05.0190","Fip1 motif/Zinc finger C-x8-C-x5-C-x3-H type (and similar), putative"
"LBRM2904_05.0210 (old tag= LbrM.05.0200)","LmjF.05.0200","Ferrous iron transport protein B/50S ribosome-binding GTPase, putative"
"LBRM2904_05.0220 (old tag= LbrM.05.0210)","LmjF.05.0210","hypothetical protein, conserved"
"LBRM2904_05.0230 (old tag= LbrM.05.0210)","LmjF.05.0210","hypothetical protein, conserved"
"LBRM2904_05.0240 (old tag= LbrM.05.0340)","LmjF.05.0220","dual specificity phosphatase-like protein"
"LBRM2904_05.0250 (old tag= LbrM.05.0220)","LmjF.05.0230","hydrogenase, putative"
"LBRM2904_05.0260 (old tag= LbrM.05.0230)","LmjF.05.0240","viscerotropic leishmaniasis antigen, putative"
"LBRM2904_05.0270 (old tag= LbrM.05.0240)","LmjF.05.0250","hypothetical protein, conserved"
"LBRM2904_05.0280 (old tag= LbrM.05.0250)","LmjF.05.0260","Ankyrin repeat, putative"
"LBRM2904_05.0290 (old tag= LbrM.05.0260)","LmjF.05.0270","hypothetical protein, conserved"
"LBRM2904_05.0300 (old tag= LbrM.05.0270)","LmjF.05.0280","protein tyrosine phosphatase, putative"
"LBRM2904_05.0310 (old tag= LbrM.05.0280)","LmjF.05.0285","ARP2/3 complex 16kDa subunit, putative"
"LBRM2904_05.0320 (old tag= LbrM.05.0290)","LmjF.05.0290","phosphate carrier protein, mitochondrial precursor-like protein"
"LBRM2904_05.0330 (old tag= LbrM.05.0300)","LmjF.05.0300","hypothetical protein, conserved"
"LBRM2904_05.0340 (old tag= LbrM.05.0310)","LmjF.05.0310","monothiol glutaredoxin, putative"
"LBRM2904_05.0350 (old tag= LbrM.05.0320)","LmjF.05.0330","DNA replication licensing factor MCM8, putative"
"LBRM2904_05.0360 (old tag= LbrM.05.0330)","LmjF.05.0340","hypothetical protein, conserved"
"LBRM2904_05.0370 (old tag= LbrM.05.0350)","LmjF.05.0350","trypanothione reductase"
"LBRM2904_05.0380 (old tag= LbrM.05.0360)","LmjF.05.0360","ATP-dependent RNA helicase, putative"
"LBRM2904_05.0390 (old tag= LbrM.05.0370)","LmjF.05.0370","hypothetical protein, conserved"
"LBRM2904_05.0400 (old tag= LbrM.05.0380)","LmjF.05.0380","microtubule-associated protein, putative"
"LBRM2904_05.0410 (old tag= LbrM.05.0400)","LmjF.05.0390","protein kinase, putative"
"LBRM2904_05.0420 (old tag= LbrM.05.0410)","LmjF.05.0400","structural maintenance of chromosome (SMC), putative"
"LBRM2904_05.0430 (old tag= -)","-","hypothetical protein"
"LBRM2904_05.0440 (old tag= LbrM.05.0420)","LmjF.05.0410","Tetratricopeptide repeat/TPR repeat/Bacterial transcriptional activator domain containing protein, putative"
"LBRM2904_05.0450 (old tag= LbrM.05.0430)","LmjF.05.0420","dynein-light chain-protein, putative"
"LBRM2904_05.0460 (old tag= LbrM.05.0440)","LmjF.05.0430","hypothetical protein, conserved"
"LBRM2904_05.0470 (old tag= LbrM.05.0450)","LmjF.05.0440","hypothetical protein, conserved"
"LBRM2904_05.0480 (old tag= LbrM.05.0460)","LmjF.05.0450","hypothetical protein, conserved"
"LBRM2904_05.0490 (old tag= LbrM.05.0470)","LmjF.05.0460","GTPase, putative"
"LBRM2904_05.0500 (old tag= LbrM.05.0490)","LmjF.05.0480","monocarboxylate transporter-like protein"
"LBRM2904_05.0510 (old tag= LbrM.05.0510)","LmjF.05.0500,LmjF.05.0510","ATP synthase F1, alpha subunit, putative"
"LBRM2904_05.0520 (old tag= LbrM.05.0520)","LmjF.05.0500,LmjF.05.0510","ATP synthase F1, alpha subunit, putative"
"LBRM2904_05.0530 (old tag= LbrM.05.0520)","LmjF.05.0500,LmjF.05.0510","ATP synthase F1, alpha subunit, putative"
"LBRM2904_05.0540 (old tag= LbrM.05.0530)","LmjF.05.0520","nuclear receptor binding factor-like protein"
"LBRM2904_05.0550 (old tag= LbrM.05.0540)","LmjF.05.0530","kinetoplast-associated protein-like protein"
"LBRM2904_05.0560 (old tag= LbrM.05.0550)","LmjF.05.0540","hypothetical protein, conserved"
"LBRM2904_05.0570 (old tag= LbrM.05.0560)","LmjF.05.0550","cdc2-related kinase, putative"
"LBRM2904_05.0580 (old tag= LbrM.05.0570)","LmjF.05.0560","hypothetical protein, conserved"
"LBRM2904_05.0590 (old tag= LbrM.05.0630)","LmjF.05.0570","hypothetical protein, conserved"
"LBRM2904_05.0600 (old tag= LbrM.05.0640)","LmjF.05.0580","hypothetical protein, conserved"
"LBRM2904_05.0610 (old tag= LbrM.23.1900)","-","DEAD/DEAH box helicase, putative"
"LBRM2904_05.0620 (old tag= LbrM.23.1900)","LmjF.05.0590","ATP-dependent RNA helicase, putative"
"LBRM2904_05.0630 (old tag= LbrM.23.1890)","LmjF.05.0600","COG4 transport protein, putative"
